top_category,top_material,top_color,top_color_code,bottom_category,bottom_material,bottom_color,bottom_color_code,shoes_category,shoes_material,shoes_color,shoes_color_code,style,temperature,weather_condition,score
Cardigan,Silk,"[72, 249, 217]",192.43,Joggers,Linen,"[12, 210, 181]",147.49,Boots,Rubber,"[204, 165, 156]",175.63,Elegant,4,Cloudy,6.0
Sweater,Fleece,"[201, 156, 68]",159.42,Culottes,Linen,"[196, 55, 193]",112.89,Oxfords,Denim,"[116, 222, 118]",178.45,Sporty,4,Rainy,4.5
T-shirt,Denim,"[225, 254, 200]",239.17,Skirt,Denim,"[178, 82, 112]",114.12,Loafers,Denim,"[222, 28, 79]",91.82,Formal,11,Cloudy,3.0
Hoodie,Wool,"[25, 114, 140]",90.35,Leggings,Denim,"[89, 201, 87]",154.52,Moccasins,Leather,"[51, 246, 99]",170.94,Business Casual,4,Sunny,6.5
Sweater,Leather,"[237, 178, 209]",199.17,Trousers,Polyester,"[43, 181, 180]",139.62,Espadrilles,Leather,"[124, 133, 163]",133.73,Preppy,33,Windy,2.5
Blouse,Cotton,"[247, 240, 36]",218.84,Culottes,Fleece,"[190, 83, 232]",131.98,Sneakers,Canvas,"[182, 113, 31]",124.28,Vintage,31,Snowy,1.5
T-shirt,Nylon,"[240, 33, 225]",116.78,Sweatpants,Wool,"[123, 61, 251]",101.2,Heels,Leather,"[87, 54, 140]",73.67,Formal,26,Windy,1.0
Tunic,Fleece,"[32, 39, 21]",34.85,Cargo Pants,Denim,"[210, 62, 238]",126.32,Moccasins,Leather,"[95, 201, 6]",147.08,Minimalist,11,Rainy,5.0
Tunic,Nylon,"[252, 175, 142]",194.26,Shorts,Silk,"[111, 163, 27]",131.95,Heels,Synthetic,"[187, 191, 218]",192.88,Streetwear,-5,Rainy,2.5
Coat,Nylon,"[112, 22, 118]",59.85,Shorts,Nylon,"[242, 72, 12]",115.99,Espadrilles,Mesh,"[162, 254, 97]",208.59,Preppy,28,Cloudy,2.5
Polo,Cotton,"[51, 100, 122]",87.86,Culottes,Silk,"[173, 33, 178]",91.39,Loafers,Canvas,"[22, 202, 204]",148.41,Elegant,26,Windy,5.0
Polo,Linen,"[172, 218, 168]",198.55,Leggings,Wool,"[44, 136, 155]",110.66,Espadrilles,Velvet,"[65, 130, 103]",107.49,Preppy,21,Rainy,5.0
Coat,Wool,"[162, 31, 26]",69.6,Shorts,Wool,"[134, 179, 113]",158.02,Sandals,Knit,"[107, 73, 80]",83.96,Sporty,11,Windy,5.0
Blouse,Denim,"[31, 33, 2]",28.87,Chinos,Polyester,"[129, 189, 179]",169.92,Sneakers,Suede,"[1, 3, 12]",3.43,Preppy,12,Rainy,5.0
Cardigan,Fleece,"[250, 135, 34]",157.87,Cargo Pants,Denim,"[81, 105, 217]",110.59,Sneakers,Velvet,"[97, 227, 197]",184.71,Preppy,31,Snowy,1.0
Tank Top,Linen,"[169, 69, 95]",101.86,Trousers,Fleece,"[174, 99, 164]",128.84,Moccasins,Canvas,"[237, 148, 157]",175.64,Vintage,-5,Sunny,2.5
Coat,Velvet,"[100, 77, 219]",100.06,Skirt,Velvet,"[162, 60, 117]",97.0,Oxfords,Mesh,"[166, 140, 35]",135.8,Preppy,5,Windy,5.0
T-shirt,Wool,"[115, 76, 226]",104.76,Sweatpants,Silk,"[182, 185, 236]",189.92,Boots,Suede,"[243, 22, 44]",90.59,Sporty,-2,Rainy,3.5
Hoodie,Linen,"[186, 158, 87]",158.28,Chinos,Cotton,"[104, 8, 208]",59.5,Running Shoes,Velvet,"[100, 20, 110]",54.18,Preppy,25,Rainy,5.0
Sweater,Silk,"[149, 86, 137]",110.65,Culottes,Polyester,"[68, 79, 161]",85.06,Flip-Flops,Wool,"[80, 58, 169]",77.23,Formal,-5,Cloudy,2.5
Tunic,Denim,"[158, 201, 208]",188.94,Chinos,Nylon,"[21, 174, 24]",111.15,Oxfords,Denim,"[77, 40, 18]",48.55,Vintage,11,Snowy,1.5
Blouse,Leather,"[184, 223, 31]",189.45,Jeans,Fleece,"[150, 90, 4]",98.14,Moccasins,Synthetic,"[14, 226, 217]",161.59,Sporty,5,Rainy,5.0
Polo,Velvet,"[21, 114, 156]",90.98,Joggers,Cotton,"[220, 95, 30]",124.96,Oxfords,Denim,"[165, 202, 206]",191.39,Elegant,11,Snowy,1.5
Cardigan,Velvet,"[37, 253, 223]",185.0,Shorts,Linen,"[238, 106, 203]",156.53,Loafers,Knit,"[253, 151, 118]",177.74,Vintage,3,Rainy,2.5
Cardigan,Polyester,"[39, 60, 171]",66.38,Cargo Pants,Velvet,"[212, 50, 135]",108.13,Heels,Knit,"[24, 236, 117]",159.05,Elegant,19,Rainy,5.0
